Id,Name,State,Population,Description
62,Port Stephens,New South Wales,71000,Stunning bay destination north of Newcastle famous for dolphin watching
63,Ballina,New South Wales,28000,Northern Rivers coastal town known as the gateway to Byron Bay
64,Tweed Heads,New South Wales,57000,Border town sharing the Gold Coast strip with Queensland across the Tweed
65,Byron Bay,New South Wales,10000,Iconic coastal village at Australia's most easterly point and lifestyle hub
66,Kiama,New South Wales,22000,Charming coastal town on the Illawarra coast famous for its blowhole
67,Batemans Bay,New South Wales,12000,Popular holiday destination at the mouth of the Clyde River on the south coast
68,Merimbula,New South Wales,3500,Sapphire Coast holiday town known for oysters beaches and whale watching
69,Eden,New South Wales,3000,Southernmost NSW coastal town and base for Ben Boyd National Park
70,Broken Hill,New South Wales,18000,Remote silver city in far western NSW with rich mining and arts history
71,Inverell,New South Wales,10000,Sapphire mining and agricultural centre on the New England Tablelands
72,Moree,New South Wales,8000,Artesian hot springs spa town in the northwestern plains of New South Wales
73,Parkes,New South Wales,11000,Home of the famous Dish telescope and the annual Elvis Festival
74,Forbes,New South Wales,9000,Historic gold rush town on the Lachlan River in central New South Wales
75,Cowra,New South Wales,9500,Site of the famous World War Two Japanese prisoner of war breakout
76,Young,New South Wales,7000,Cherry capital of Australia in the Hilltops wine region of New South Wales
77,Cootamundra,New South Wales,7000,Birthplace of cricket legend Don Bradman in the central-south of NSW
78,Tumut,New South Wales,6000,Snowy Mountains gateway town on the Tumut River with great trout fishing
79,Cooma,New South Wales,7000,Gateway to the Snowy Mountains ski fields and Kosciuszko National Park
80,Jindabyne,New South Wales,5000,Alpine lake town and primary base for Thredbo and Perisher ski resorts
81,Katoomba,New South Wales,8000,Blue Mountains main town perched above the Jamison Valley and Three Sisters
82,Bowral,New South Wales,12000,Southern Highlands elegant country town and home of the Bradman Museum
83,Mittagong,New South Wales,6500,Northern gateway to the Southern Highlands and heritage village atmosphere
84,Moss Vale,New South Wales,7000,Southern Highlands town known for antique shops and cool climate gardens
85,Mudgee,New South Wales,11000,Charming wine region town in the Central Ranges with heritage streetscapes
86,Deniliquin,New South Wales,8000,Murray region town that hosts the world's largest ute muster each year
87,Hay,New South Wales,3000,Flat outback town on the Murrumbidgee in the vast Riverina plain
88,Bourke,New South Wales,2500,Outback town at the gateway to the true Australian outback on the Darling
89,Walgett,New South Wales,2000,Opal fossicking hub near Lightning Ridge in northern New South Wales
90,Lightning Ridge,New South Wales,1700,Famous black opal mining town in the far northwest of New South Wales
91,Nyngan,New South Wales,2500,Geographic centre of New South Wales in the central-west of the state
92,Cobar,New South Wales,4500,Copper mining outback town in the far west of New South Wales
93,Tibooburra,New South Wales,200,Remote corner of NSW in the Sturt National Park at the Queensland border
94,Wilcannia,New South Wales,600,Historic river port town on the Darling River in far western New South Wales
95,White Cliffs,New South Wales,100,Underground opal mining village in the far west of New South Wales
96,Silverton,New South Wales,50,Ghost town outside Broken Hill famous as a film and TV location
97,Menindee,New South Wales,500,Gateway to the Kinchega National Park and the Menindee Lakes system
98,Ivanhoe,New South Wales,200,Tiny outback town at the geographic centre of New South Wales
99,Tilpa,New South Wales,20,One of the smallest towns in NSW on the Darling River in the outback
100,Milparinka,New South Wales,20,Remote historic gold rush village near Tibooburra in the Corner Country
